2026_05_25_artefact_audit_and_cleanup_plan_cheap_cleanup_plan	Cheap zero-LLM cleanup plan (chunker+materialize+pattern-delete+docs)
2026_05_25_artefact_audit_and_cleanup_plan_chunker_drops_timestamps	Defect: chunker discards source timestamps (locator has zero date keys)
2026_05_25_artefact_audit_and_cleanup_plan_doc	Handoff: graph-RAG artefact audit + cleanup plan (2026-05-25)
2026_05_25_artefact_audit_and_cleanup_plan_doc_drift	Doc drift: graph_schema.md claims NEXT/Run/legacy writer that live graph lacks
2026_05_25_artefact_audit_and_cleanup_plan_id_date_tag_pollution	Defect: ~18% of tags are literal IDs/dates, not concepts
2026_05_25_artefact_audit_and_cleanup_plan_live_graph_audit	Live herb-eval graph audit (4 labels, 3 edge types, no NEXT/Run)
2026_05_25_artefact_audit_and_cleanup_plan_neo4j_data_move_backup	Infra: Neo4j data moved to A:, herb-eval.dump + herb-eval-backup sibling DB
2026_05_25_artefact_audit_and_cleanup_plan_pattern_delete_junk_tags	Pattern-delete junk tags via anchored regexes (eid/emp/year/date)
2026_05_25_artefact_audit_and_cleanup_plan_relevance_calibration	Defect: relevance_to_file calibrated too high to discriminate
2026_05_25_artefact_audit_and_cleanup_plan_silent_unembedded_tags	Defect: 23 tags silently unembedded (description filter)
2026_05_25_artefact_audit_and_cleanup_plan_three_weight_layers	Three baked weight layers (relevance_to_file / w_chunk / w_facet)
2026_05_25_artefact_audit_and_cleanup_plan_w_facet_categorical	Finding: w_facet is categorical (~9-value resolution), not continuous
2026_05_25_artefact_audit_and_cleanup_plan_years_from_tags	Defect: c.years back-projected from temporal tag names (hard-fields-before-tagging violation)
2026_05_25_graph_rag_retrieval_redesign_bake_combinator	Bake combinator decision (multiplication rejected)
2026_05_25_graph_rag_retrieval_redesign_doc	Handoff: graph-RAG retrieval pipeline redesign (2026-05-25)
2026_05_25_graph_rag_retrieval_redesign_no_query_time_synthesis	No weight synthesis at query time
2026_05_25_graph_rag_retrieval_redesign_recall_filter_rank_cap	Recall to filter to rank to cap retrieval shape
2026_05_25_graph_rag_retrieval_redesign_seven_factor_violation	7-factor multiplicative scoreCypher (rejected synthesis)
2026_05_25_graph_rag_retrieval_redesign_weights_baked_at_index	Weights baked at index time as facts
2026_05_25_middle_layer_weight_redesign_determinism_goal	Retriever as deterministic function of graph state and query
2026_05_25_middle_layer_weight_redesign_doc	Handoff: middle-layer weight & retrieval redesign (2026-05-25)
2026_05_25_middle_layer_weight_redesign_facets_direction_not_filter	Facets as directional alignment signal, not hard filter
2026_05_25_middle_layer_weight_redesign_semantic_layer_load_bearing	Semantic weights are the load-bearing LLM-produced value
2026_05_25_middle_layer_weight_redesign_three_roles	Three roles: indexing math, interpreter LLM, retriever graph
2026_05_25_middle_layer_weight_redesign_w_facet_coarse	w_facet coarse (21 distinct values across 255k edges)
2026_05_31_v2_artefact_rebuild_and_facet_design_combinator	Combinator = prompt-conditioned weighted dot product (accumulate not max)
